cano_smiles,MW,TPSA,HBD,HBA,Water Solubility
CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1C=CC(O)COc1cccc(C(F)(F)F)c1,500.55400000000014,96.22,3,6,0.00759
CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,502.5790000000003,99.13,1,7,0.00774
CNCCC(Oc1ccccc1C)c1ccccc1,255.361,21.26,1,2,0.0039
Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1,1415.5760000000005,627.07,20,31,0.0277
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,304.217,40.54,1,2,0.0773
CCOC(=O)c1cncn1C(C)c1ccccc1,244.294,44.12,0,4,0.477
Cc1nc2ccc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)cc2c(=O)[nH]1,458.4960000000002,152.69,4,7,0.0181
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3C(=C)CC21CC,324.4640000000001,37.3,1,2,0.00737
CN1CCC23c4c5ccc(O)c4OC2C(O)C=CC3C1C5,285.343,52.93000000000001,2,4,10.2
CCCN1CCCCC1C(=O)Nc1c(C)cccc1C,274.408,32.34,1,2,0.253
CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C,288.43500000000006,32.34,1,2,0.0977
Cc1ccccc1N1CCN(CCc2nnc3n2CCCC3)CC1,325.4600000000001,37.190000000000005,0,5,0.751
Nc1nc2c(ncn2CCC(CO)CO)c(=O)[nH]1,253.262,130.04999999999998,4,7,7.45
CC(C)OC(=O)OCOP(=O)(COC(C)Cn1cnc2c(N)ncnc21)OCOC(=O)OC(C)C,519.4480000000002,185.44,1,15,0.712
Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C1SC(C)(C)C2C(=O)O,453.8790000000002,112.74,2,6,0.0545
NCC1CCC(C(=O)O)CC1,157.21299999999997,63.32000000000001,2,2,18.2
CC(O)C1C(=O)N2C(C(=O)O)=C(SC3CNC(C(=O)Nc4cccc(C(=O)O)c4)C3)C(C)C12,475.52300000000025,156.26999999999998,5,7,0.286
C#CC1(O)CCC2C3CCC4=CCCCC4C3C(=C)CC21CC,310.48100000000005,20.23,1,1,0.00301
COC12C(COC(N)=O)C3=C(C(=O)C(C)=C(N)C3=O)N1CC1NC12,334.33200000000005,146.89,3,8,10.1
